2026-04-24 10:23:01 [warn]: 	[OllamaAdapter] Ollama is not available {"data":{"message":"","name":"AggregateError","stack":"AggregateError\n    at AxiosError.from (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:881:24)\n    at RedirectableRequest.handleRequestError (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:3397:25)\n    at RedirectableRequest.emit (node:events:520:35)\n    at eventHandlers.<computed> (C:\\traework\\AiSecurityMCP\\node_modules\\follow-redirects\\index.js:56:24)\n    at ClientRequest.emit (node:events:508:28)\n    at emitErrorEvent (node:_http_client:108:11)\n    at Socket.socketErrorListener (node:_http_client:575:5)\n    at Socket.emit (node:events:520:35)\n    at emitErrorNT (node:internal/streams/destroy:170:8)\n    at emitErrorCloseNT (node:internal/streams/destroy:129:3)\n    at Axios.request (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:4517:41)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async OllamaAdapter.isAvailable (C:\\traework\\AiSecurityMCP\\dist\\models\\ollamaAdapter.js:19:30)\n    at async ModelManager.checkAllProviders (C:\\traework\\AiSecurityMCP\\dist\\models\\modelManager.js:89:37)\n    at async SecurityAgent.initialize (C:\\traework\\AiSecurityMCP\\dist\\agents\\securityAgent.js:78:27)\n    at async Command.<anonymous> (C:\\traework\\AiSecurityMCP\\dist\\index.js:75:5)","config":{"transitional":{"silentJSONParsing":true,"forcedJSONParsing":true,"clarifyTimeoutError":false,"legacyInterceptorReqResOrdering":true},"adapter":["xhr","http","fetch"],"transformRequest":[null],"transformResponse":[null],"timeout":5000,"xsrfCookieName":"XSRF-TOKEN","xsrfHeaderName":"X-XSRF-TOKEN","maxContentLength":-1,"maxBodyLength":-1,"env":{},"headers":{"Accept":"application/json, text/plain, */*","User-Agent":"axios/1.15.2","Accept-Encoding":"gzip, compress, deflate, br"},"method":"get","url":"http://localhost:11434/api/tags","allowAbsoluteUrls":true},"code":"ECONNREFUSED"}}
2026-04-24 10:23:01 [info]: 	[ModelManager] Provider ollama: unavailable {}
2026-04-24 10:23:01 [warn]: 	[SecurityAgent] No model providers available. Please start LMStudio or Ollama. {}
2026-04-24 10:23:01 [debug]: 	[ContextManager] Added message (role: system), total: 1 {}
2026-04-24 10:23:01 [info]: 	[SecurityAgent] Security agent initialized successfully {}
2026-04-24 10:23:01 [debug]: 	[ModelAdapter] Request: GET /models {}
2026-04-24 10:23:01 [error]: 	[ModelAdapter] Request failed:  {"data":{"url":"/models"}}
2026-04-24 10:23:01 [warn]: 	[LMStudioAdapter] LMStudio is not available {"data":{"message":"","name":"AggregateError","stack":"AggregateError\n    at AxiosError.from (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:881:24)\n    at RedirectableRequest.handleRequestError (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:3397:25)\n    at RedirectableRequest.emit (node:events:520:35)\n    at eventHandlers.<computed> (C:\\traework\\AiSecurityMCP\\node_modules\\follow-redirects\\index.js:56:24)\n    at ClientRequest.emit (node:events:508:28)\n    at emitErrorEvent (node:_http_client:108:11)\n    at Socket.socketErrorListener (node:_http_client:575:5)\n    at Socket.emit (node:events:520:35)\n    at emitErrorNT (node:internal/streams/destroy:170:8)\n    at emitErrorCloseNT (node:internal/streams/destroy:129:3)\n    at Axios.request (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:4517:41)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async LMStudioAdapter.isAvailable (C:\\traework\\AiSecurityMCP\\dist\\models\\lmstudioAdapter.js:14:30)\n    at async ModelManager.checkAllProviders (C:\\traework\\AiSecurityMCP\\dist\\models\\modelManager.js:89:37)\n    at async Command.<anonymous> (C:\\traework\\AiSecurityMCP\\dist\\index.js:84:23)","config":{"transitional":{"silentJSONParsing":true,"forcedJSONParsing":true,"clarifyTimeoutError":false,"legacyInterceptorReqResOrdering":true},"adapter":["xhr","http","fetch"],"transformRequest":[null],"transformResponse":[null],"timeout":5000,"xsrfCookieName":"XSRF-TOKEN","xsrfHeaderName":"X-XSRF-TOKEN","maxContentLength":-1,"maxBodyLength":-1,"env":{},"headers":{"Accept":"application/json, text/plain, */*","Content-Type":"application/json","User-Agent":"axios/1.15.2","Accept-Encoding":"gzip, compress, deflate, br"},"baseURL":"http://localhost:1234/v1","method":"get","url":"/models","allowAbsoluteUrls":true},"code":"ECONNREFUSED"}}
2026-04-24 10:23:01 [info]: 	[ModelManager] Provider lmstudio: unavailable {}
2026-04-24 10:23:01 [warn]: 	[OllamaAdapter] Ollama is not available {"data":{"message":"","name":"AggregateError","stack":"AggregateError\n    at AxiosError.from (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:881:24)\n    at RedirectableRequest.handleRequestError (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:3397:25)\n    at RedirectableRequest.emit (node:events:520:35)\n    at eventHandlers.<computed> (C:\\traework\\AiSecurityMCP\\node_modules\\follow-redirects\\index.js:56:24)\n    at ClientRequest.emit (node:events:508:28)\n    at emitErrorEvent (node:_http_client:108:11)\n    at Socket.socketErrorListener (node:_http_client:575:5)\n    at Socket.emit (node:events:520:35)\n    at emitErrorNT (node:internal/streams/destroy:170:8)\n    at emitErrorCloseNT (node:internal/streams/destroy:129:3)\n    at Axios.request (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:4517:41)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async OllamaAdapter.isAvailable (C:\\traework\\AiSecurityMCP\\dist\\models\\ollamaAdapter.js:19:30)\n    at async ModelManager.checkAllProviders (C:\\traework\\AiSecurityMCP\\dist\\models\\modelManager.js:89:37)\n    at async Command.<anonymous> (C:\\traework\\AiSecurityMCP\\dist\\index.js:84:23)","config":{"transitional":{"silentJSONParsing":true,"forcedJSONParsing":true,"clarifyTimeoutError":false,"legacyInterceptorReqResOrdering":true},"adapter":["xhr","http","fetch"],"transformRequest":[null],"transformResponse":[null],"timeout":5000,"xsrfCookieName":"XSRF-TOKEN","xsrfHeaderName":"X-XSRF-TOKEN","maxContentLength":-1,"maxBodyLength":-1,"env":{},"headers":{"Accept":"application/json, text/plain, */*","User-Agent":"axios/1.15.2","Accept-Encoding":"gzip, compress, deflate, br"},"method":"get","url":"http://localhost:11434/api/tags","allowAbsoluteUrls":true},"code":"ECONNREFUSED"}}
